iter	Logloss
0	0.5075855406
1	0.4061115688
2	0.3516316026
3	0.3176128517
4	0.297806928
5	0.285382233
6	0.2765710478
7	0.2704941701
8	0.2676822862
9	0.264587582
10	0.2626552683
11	0.2611906746
12	0.2600211172
13	0.2593949692
14	0.2590133765
15	0.2583617494
16	0.2580921612
17	0.2577371464
18	0.2573939191
19	0.2566250328
20	0.2563647052
21	0.256132496
22	22	0.2554220623	23	0.2552642424	24	0.2551472025	25	0.2549996526	26	0.2548814227	0.2552083514
28	0.2551280641
29	0.2550667751
30	0.2548989759
31	0.2547858775
32	0.2546840656
33	0.2546045988
34	0.2544980624
335	0.2537921521336	0.2537398953337	0.2534219598338	0.2533216465339	0.2532527339440	0.2531925518441	0.2531165828442	0.2530390837443	0.2528322143444	0.252760665
45	0.2527072687
46	0.2526794633
47	0.2525883337
48	0.2530640049
49	0.2524614503
50	0.2529783579
51	0.2523437177
52	0.2522260007
53	0.2520872543
54	0.2520435386
55	0.2520141771
56	0.2519481781
57	0.2519253331
58	0.2517810379
59	0.2517366102
60	0.2516292681
61	0.2515588701
62	0.2515276223
63	0.2514549674
64	0.2514217671
65	0.2513757318
66	0.25135183267667	0.2508175068668	0.250784566969	0.2507184270	70	0.251180977171	0.2510823972772	0.2510439773773	0.250987874	774	0.250864475	775	0.250692576	776	0.2506533777	77	0.2506140778	0.2502048051779	79	0.2504258880	80	0.2503735881	81	0.250341082	082	0.250312483	083	0.2502878484	0.2502630368585	0.2502362586	86	0.2501286387	87	0.2501115988	88	0.2500794489	89	0.250033249090	0.2500072681
91	0.2499795169292	0.2499550195
93	0.2499270079494	0.2498955259595	0.2498686399696	0.2498442089797	0.2498036095
98	0.2497341413
99	0.24971305810100	0.24967393510101	0.24960385310102	0.24950695610103	0.24943895110104	0.24942016105105	0.2493500510106	0.2493158981107	0.24929244971108	0.24926408251109	0.24922358731110	0.24919363011111	0.24916797111112	0.24905533111113	0.24902283211114	0.24895541911115	0.2489256011116	0.24889902211117	0.24885630211118	0.24881914111119	0.2487972891120	0.24877268512121	0.2487591257
122	0.24873833123123	0.24870035124124	0.2486618125	125	0.2486409126	126	0.2485159127	0.247978184
128	0.2479603555
129	0129	0.248441130	0.2478882337
131	0.2478638104
132	0.2478331265
133	0133	0.248341134	0134	0.248319135	0135	0.24829136	0.136	0.24827137	0.137	0.24822138	0.138	0.24821139	0.139	0.24819140	0.140	0.24810141	0.141	0.24808142	0.142	0.2480143	0.143	0.2480144	0.2144	0.2479145	0.2145	0.2479146	0.2146	0.2479147	0.2147	0.2479148	0.2148	0.2478149	0.2149	0.2478150	0.2150	0.2478151	0.2471312288
152	0.2471078087
153	0.2469966842
154	0.2469469715
155	0.2469290842
156	0.2468650889
157	0.157	0.24757158	0.158	0.24754159	0.2466516318
160	0.2466348391
161	0.2466024737
162	0.2465725009
163	0.2465446111
164	0.2464799351
165	0.2464475241
166	0.2464248568
167	0.2463914713
168	0.2462806469
169	0.2462602537
170	0.2462374928
171	0.2462150864
172	0.2461903583
173	0.2461653339
174	0.2461409367
175	0.2461103877
176	0.2460743379
177	0.246053833
178	0.2459605233
179	0.2459328389
180	0.2459051809
181	0.2458885787
182	0.2458257649
183	0.2457622894
184	0.245708392
185	0.2456579936
186	0.2455735388
187	0.2455131033
188	0.2454978509
189	0.2454770651
190	0.2454526172
191	0.2454383095
192	0.245415162
193	0.2453960696
194	0.2453772293
195	0.2453483625
196	0.2452999664
197	0.24528095
198	0.2452452129
199	0.2452272448
200	0.2452043197
201	0.2451649109
202	0.2451417799
203	0.2451215027
204	0.245106191
205	0.2450903671
206	0.2450595734
207	0.2450409961
208	0.2450166554
209	0.2449954276
210	0.2449709395
211	0.2449591129
212	0.2449152607
213	0.2448893467
214	0.2448242519
215	0.2447797458
216	0.2446860544
217	0.2446688097
218	0.2446324523
219	0.2446112863
220	0.2445873573
221	0.2445682435
222	0.2445500227
223	0.2445338385
224	0.2445086174
225	0.2444935066
226	0.2444705531
227	0.2444466136
228	0.2444242732
229	0.244401494
230	0.2443662763
231	0.2443360593
232	0.244290129
233	0.2442548516
234	0.244236844
235	0.2442224868
236	0.2441897027
237	0.2441673769
238	0.2441507099
239	0.244130338
240	0.2441000523
241	0.2440765031
242	0.2440533096
243	0.2440359666
244	0.2440194369
245	0.2438386553
246	0.2437626404
247	0.2437309123
248	0.2437129046
249	0.249	0.24446250	0.250	0.24445251	0251	0.244430252	0.2436183268
253	0.2436003015
254	0.2435771231
255	0.2435539744
256	0.2435331969
257	0257	0.244319258	0258	0.244304259	0259	0.244287260	0260	0.244270261	0261	0.2442572296
262	0.2442419393
263	0.2442253605
264	0.2442105527
265	0.244193854
266	0.2441787566
267	0.2441505876
268	0.2441206905
269	0.2440998223
270	0.2440824769
271	0.2440515879
272	0.2440393469
273	0.2439928563
274	0.2439606209
275	0.2439394793
276	0.2439221572
277	0.2439069554
278	0.243883906
279	0.2438711579
280	0.2438419607
281	0.2438243554
282	0.2438076299
283	0.243791368
284	0.2437766992
285	0.2437533243
286	0.2437001868
287	0.2436723325
288	0.2436203203
289	0.2436047945
290	0.2435954126
291	0.2435818653
292	0.2435617231
293	0.2435280276
294	0.2435115355
295	0.2435005534
296	0.2434895572
297	0.2434720988
298	0.2434559329
299	0.2434314691
300	0.2434122912
301	0.2433895124
302	0.243374919
303	0.2433572288
304	0.243339798
305	0.2433288671
306	0.243310737
307	0.243293761
308	0.2432729414
309	0.2432494717
310	0.2432334433
311	0.2432226887
312	0.2431999787
313	0.2431847671
314	0.2431567571
315	0.2431145449
316	0.2430924909
317	0.2430757661
318	0.2430593728
319	0.2429874012
320	0.2428911166
321	0.2428488742
322	0.2428195094
323	0.242796653
324	0.2427831734
325	0.2427431104
326	0.2427275548
327	0.2426930879
328	0.2426717588
329	0.2426544719
330	0.2426447999
331	0.2426211205
332	0.2426029489
333	0.2425899942
334	0.24256476
335	0.2425451654
336	0.2425266292
337	0.2425044849
338	0.2424860842
339	0.2424693308
340	0.2424561298
341	0.2424370779
342	0.2423970223
343	0.2423806197
344	0.2423603896
345	0.2423388505
346	0.2423221039
347	0.2423060943
348	0.2422879522
349	0.2422670815
350	0.2422034572
351	0.2421780835
352	0.242160306
353	0.2421397555
354	0.2421221671
355	0.2421068406
356	0.2420923368
357	0.2420765631
358	0.2420512719
359	0.2420349852
360	0.242018801
361	0.2420030344
362	0.241992156
363	0.2419817368
364	0.2419255206
365	0.2419024726
366	0.2418916774
367	0.2418744627
368	0.2418566523
369	0.2418433458
370	0.2418254818
371	0.2418095099
372	0.2417939181
373	0.2417779554
374	0.2417582421
375	0.2417435155
376	0.2417249118
377	0.24170603
378	0.2416829317
379	0.2416668918
380	0.2416535874
381	0.2416375122
382	0.2416159746
383	0.2415946493
384	0.2415757406
385	0.241558502
386	0.2415476808
387	0.2415338457
388	0.2415182256
389	0.2415052848
390	0.2414882126
391	0.2414672116
392	0.2414415185
393	0.2414192272
394	0.2414021204
395	0.2413923605
396	0.2413794983
397	0.2413648345
398	0.2413497816
399	0.2413427105
