iter	Passed	Remaining
0	101	6398911	128	4062622	159	3342033	187	295384	218	27414
5	253	26446
6	287	25708
7	317	24830
8	351	24383
9	381	23772
10	412	23327
11	440	22802
12	468	22325
13	498	22056
14	528	21753
15	561	21639
16	591	21438
17	624	21344
18	663	21447
19	694	21288
20	723	21078
21	757	21038
222	800	21234223	836	21216224	871	21203225	905	21136226	934	2098527	976	21109
28	1018	21205
29	1050	21117
30	1092	21215
31	1120	21037
32	1154	20990
33	1183	20856
34	1211	20700
335	1251	20754336	1287	20733337	1320	20669338	1354	20632339	1381	20479440	1413	20416441	1443	20317442	1480	20312443	1514	20270444	1545	20190445	1577	20131446	1605	20013447	1632	1989648	1656	19741
449	1688	1968450	1727	19717
551	1756	19624552	1791	19606553	1827	19599554	1870	19658555	1897	19552556	1927	19481557	1961	19446558	1998	19440559	2031	19398660	2064	19358661	2100	19343662	2133	19306663	2165	19251664	2189	19131665	2220	19078666	2247	1898667	2298	19095
68	2328	19031
69	2358	18968
770	2371	18769771	2406	18752772	2442	18734773	2467	18640774	2496	18576775	2530	18545776	2559	18479777	2596	1847378	2639	18510
779	2663	18409880	2697	18382881	2730	18345882	2761	18298883	2790	18235884	2824	18210885	2858	18184886	2931	18396887	2965	18362888	2995	18307889	3032	18295990	3066	18266
91	3096	18208992	3128	18168
93	3159	18116994	3189	18063995	3219	18008996	3252	17970997	3284	17930
98	3319	17905
99	3352	178691100	3386	178351101	3417	177901102	3450	177561103	3483	177181104	3515	176761105	3545	176251106	3568	175431107	3605	175291108	3638	174891109	3675	174741110	3707	174361111	3739	173971112	3765	173281113	3800	173031114	3842	173061115	3871	172531116	3904	172181117	3937	171831118	3970	171491119	4004	171211120	4042	171041121	4076	17075
122	4105	170221123	4133	169671124	4162	169161125	4194	168761126	4219	16811127	4266	16832
128	4298	16794
1129	4315	16697130	4371	16752
131	4403	16711
132	4435	16673
1133	4456	165941134	4494	165771135	4529	165511136	4560	165091137	4589	164611138	4614	163991139	4646	163621140	4676	163171141	4712	162931142	4748	162721143	4781	162381144	4819	162201145	4852	161851146	4892	161751147	4925	161401148	4964	161261149	4998	160951150	5030	16058151	5075	16060
152	5117	16056
153	5156	16038
154	5191	16009
155	5220	15963
156	5250	15919
1157	5272	158501158	5304	15812159	5350	15818
160	5381	15778
161	5419	15755
162	5450	15716
163	5486	15689
164	5515	15642
165	5545	15602
166	5585	15585
167	5616	15544
168	5647	15504
169	5681	15474
170	5720	15455
171	5762	15445
172	5795	15409
173	5831	15382
174	5864	15348
175	5900	15320
176	5937	15297
177	5969	15258
178	6015	15255
179	6058	15246
180	6093	15217
181	6125	15180
182	6152	15129
183	6182	15085
184	6208	15033
185	6240	14996
186	6269	14954
187	6302	14918
188	6338	14891
189	6373	14860
190	6408	14830
191	6436	14784
192	6471	14753
193	6503	14716
194	6537	14683
195	6570	14649
196	6604	14617
197	6636	14580
198	6663	14533
199	6691	14486
200	6714	14430
201	6746	14394
202	6778	14358
203	6812	14325
204	6847	14295
205	6880	14261
206	6912	14226
207	6948	14197
208	6993	14188
209	7029	14159
210	7064	14129
211	7102	14103
212	7137	14073
213	7174	14047
214	7204	14007
215	7234	13966
216	7269	13935
217	7301	13898
218	7336	13868
219	7366	13829
220	7400	13795
221	7432	13760
222	7466	13728
223	7509	13710
224	7539	13672
225	7574	13641
226	7609	13609
227	7644	13578
228	7679	13548
229	7711	13511
230	7743	13476
231	7774	13437
232	7808	13405
233	7842	13372
234	7884	13352
235	7919	13322
236	7953	13288
237	7988	13257
238	8021	13223
239	8059	13196
240	8099	13174
2241	8114	13109242	8176	13122
243	8205	13082
244	8246	13059
245	8288	13038
246	8322	13005
247	8353	12967
248	8383	12928
2249	8395	128622250	8431	128322251	8465	12798252	8517	12792
253	8556	12767
254	8601	12750
255	8630	12709
256	8662	12674
2257	8678	126142258	8713	125822259	8751	125552260	8790	125292261	8826	12498
262	8867	12474
263	8910	12454
264	8962	12445
265	8996	12412
266	9029	12377
267	9070	12352
268	9100	12313
269	9138	12285
270	9173	12254
